标题,房屋类型,面积,方向,层数,建造时间,社区,区,地址,总价,每平方价格,每平方价格带单位,总价带单位,建筑年龄,价格差异
永威森林花语 南北通透 电梯房 商品住宅 满二 停车方便,3室2厅2卫,131.6,南北,中层(共20层),2019.0,永威森林花语,郑东新区,郑东新区周边和风街86号,172.0,13070,13070元/m²,172.0万元,6.0,0.0012000000000114142
近医院 南北通透 商品住宅 商业配套齐全 交通便捷,3室2厅2卫,142.0,南北,高层(共19层),2008.0,空管花园,郑东新区,黄河南路七里河南路29号,155.0,10916,10916元/m²,155.0万元,17.0,0.0072000000000116415
购物方便 临地铁 高楼层视野好 带电梯 小三房 商品住宅,3室2厅1卫,90.87,南北,高层(共27层),2013.0,鑫苑世纪东城东苑,郑东新区,东风南路安平路126号,115.0,12656,12656元/m²,115.0万元,12.0,0.005071999999998411
海逸名门 南北通透 商品房 带电梯 高楼层视野无遮挡 大两房,2室2厅1卫,127.0,南北,高层(共25层),2012.0,海逸名门,郑东新区,CBD商务内环路22号,210.0,16536,16536元/m²,210.0万元,13.0,0.0072000000000116415
天赋路 南北通透 大两居 临地铁 永威物业,2室2厅1卫,90.18,南北,中层(共8层),2008.0,永威翰林居,郑东新区,天赋路九如东路6号,213.0,23620,23620元/m²,213.0万元,17.0,0.005160000000017817
金悦府 高楼层视野无遮挡 精装好房 带电梯 南北通透 楼龄新,4室2厅2卫,130.68,南北,高层(共34层),2016.0,金悦府,郑东新区,列里路永平路121号,235.0,17983,17983元/m²,235.0万元,9.0,0.001844000000005508
大两居 电梯房 交通便利 商圈成熟 近医院 满五,2室2厅1卫,87.88,南,高层(共34层),2014.0,绿地新里花园三期,郑东新区,列里路列里路,140.0,15931,15931元/m²,140.0万元,11.0,0.001628000000010843
十年前的价格买东区，专业代理各小区过户手续业主急售可大刀砍价,3室2厅1卫,87.88,南北,高层(共34层),2015.0,绿地新里花园三期,郑东新区,列里路列里路,110.0,12518,12518元/m²,110.0万元,10.0,0.008183999999985758
绿地新里花园一期 东南户型 精装可拎包入住 出行方便,2室2厅1卫,88.87,东南,高层(共23层),2010.0,绿地新里花园一期,郑东新区,列里路永平路19号,130.0,14629,14629元/m²,130.0万元,15.0,0.007923000000005231
中央特区(东区) 有电梯 近医院 停车方便 临地铁 双卫生间,4室2厅2卫,165.13,南,低层(共16层),2008.0,中央特区(东区),郑东新区,新东站片农业东路112号,320.0,19379,19379元/m²,320.0万元,17.0,0.005426999999997406
急售急出！浅水湾！143平 装修好 在加装电梯 价格可谈，,3室2厅2卫,143.87,南北,中层(共6层),2006.0,顺驰第一大街浅水湾,郑东新区,农业东路九如路9号,349.0,24259,24259元/m²,349.0万元,19.0,0.01423299999999017
雅居乐国际花园(西苑) 南向采光好 近地铁 带电梯,3室2厅1卫,134.0,南,低层(共26层),2016.0,雅居乐国际花园(西苑),郑东新区,郑东新区周边象湖南路71号,166.0,12389,12389元/m²,166.0万元,9.0,0.012599999999991951
商品房 南向采光好 精装修 带电梯 次新房 医疗配套成熟,4室2厅2卫,144.27,南,中层(共34层),2022.0,中州府,郑东新区,"CBD中州大道,近福元路",260.0,18022,18022元/m²,260.0万元,3.0,0.00339400000001433
（电梯洋房）中间位置 一梯两户 有车位 得房率85% 随时看,4室2厅2卫,140.42,南北,高层(共7层),2018.0,鸿园梧桐苑,郑东新区,鸿园片区鸿苑路66号,270.0,19229,19229元/m²,270.0万元,7.0,0.01361799999995128
融创美盛象湖壹号1期 豪华设计 中间楼层采光好 满二,3室2厅2卫,131.18,南北,共5层,2018.0,融创美盛象湖壹号1期,郑东新区,"郑东新区周边凤栖街,近润泽路",260.0,19821,19821元/m²,260.0万元,7.0,0.011878000000024258
金水东路 大两居 满五 近医院 南北通透 临地铁 电梯房,2室2厅1卫,90.0,南北,中层(共22层),2009.0,聚龙城,郑东新区,金水东路祥盛街10号,150.0,16667,16667元/m²,150.0万元,16.0,0.002999999999985903
盛世年华 电梯房 出行方便 中间好楼层 装修好 产权清晰,2室2厅1卫,90.27,东,中层(共17层),2007.0,盛世年华,郑东新区,黄河南路黄河东路89号,169.0,18722,18722元/m²,169.0万元,18.0,0.003493999999989228
盛世年华 医疗配套成熟 正规商品房 正南朝向 有电梯,2室2厅1卫,95.11,南,高层(共18层),2007.0,盛世年华,郑东新区,黄河南路黄河东路89号,178.0,18716,18716元/m²,178.0万元,18.0,0.007876000000010208
建业如意家园 有电梯 商品住宅 精装可拎包入住 近医院,3室2厅1卫,125.68,南北,低层(共11层),2010.0,建业如意家园,郑东新区,东风东路祥盛街29-16号,248.0,19733,19733元/m²,248.0万元,15.0,0.004344000000003234
幸福里旁 小高层一梯两户 临河观景 核心地段大三室,3室2厅1卫,124.17,南北,中层(共11层),2010.0,建业如意家园,郑东新区,东风东路祥盛街29-16号,225.0,18121,18121元/m²,225.0万元,15.0,0.008456999999992831
东区中建翰林苑改善三房.带车位.储物间.一梯一户好楼层,3室2厅2卫,127.49,南,中层(共17层),2017.0,中建翰林苑,郑东新区,金水东路郑信路,185.0,14511,14511元/m²,185.0万元,8.0,0.0007389999999816155
海马公园(D区) 双卫生间 小区新 南北通透 正规商品房,3室2厅2卫,138.0,南北,中层(共33层),2018.0,海马公园(D区),郑东新区,"新东站片普惠路,近商都路",365.0,26450,26450元/m²,365.0万元,7.0,0.009999999999990905
不靠高架，中间好楼层，满五 没有贷款，随时看房,3室2厅1卫,87.52,南北,高层(共30层),2015.0,绿地新里花园二期,郑东新区,列里路普惠路2号,110.0,12569,12569元/m²,110.0万元,10.0,0.0038879999999892334
正商东方港湾 电梯房 近地铁 产权清晰 购物方便,2室2厅1卫,95.8,南,高层(共18层),2010.0,正商东方港湾,郑东新区,新东站片康平路9号,220.0,22965,22965元/m²,220.0万元,15.0,0.004700000000013915
正规商品房 交通便利 近地铁 精装可拎包入住 有电梯 近医院,2室2厅1卫,86.0,东,中层(共26层),2010.0,正商东方港湾,郑东新区,新东站片康平路9号,130.0,15117,15117元/m²,130.0万元,15.0,0.006200000000006867
中间楼层采光好 装修豪华保养好 电梯房 朝南 正规商品房,3室2厅2卫,130.0,南,中层(共7层),2018.0,东润华景,郑东新区,郑东新区周边商都大道,165.0,12693,12693元/m²,165.0万元,7.0,0.00899999999998613
正商书香华府 房龄新 满二 带电梯 南北通透 精装好房,3室2厅2卫,138.0,南北,低层(共27层),2016.0,正商书香华府,郑东新区,龙子湖行健街6号,255.0,18479,18479元/m²,255.0万元,9.0,0.010199999999997544
龙子湖 出行方便 带电梯 朝南 满五 精装好房 楼龄新,2室2厅1卫,89.6,南,低层(共27层),2016.0,正商书香华府,郑东新区,龙子湖行健街6号,155.0,17300,17300元/m²,155.0万元,9.0,0.008000000000009777
永威五月花城 精装四房 实木装修 基本没住 不临高架,4室2厅2卫,174.8,南北,高层(共26层),2016.0,永威五月花城,郑东新区,"龙子湖姚桥路,近明理路",366.0,20939,20939元/m²,366.0万元,9.0,0.013720000000034815
龙子湖 商品房 中间好楼层 装修豪华保养好 南北通透,4室2厅2卫,177.96,南北,中层(共26层),2016.0,永威五月花城,郑东新区,"龙子湖姚桥路,近明理路",430.0,24163,24163元/m²,430.0万元,9.0,0.004748000000063257
（高铁站商业中心）鑫苑鑫城 南北通透三室 看房方便 拎包入住,3室2厅1卫,89.27,南北,低层(共32层),2016.0,鑫苑鑫城,郑东新区,东风南路康平路89号,140.0,15683,15683元/m²,140.0万元,9.0,0.0021409999999946194
刚刚降价 看中房子 价格还能谈很多 随时看房,3室2厅2卫,132.81,南北,低层(共17层),2016.0,南熙福邸,郑东新区,郑东新区周边大有路23号,185.0,13930,13930元/m²,185.0万元,9.0,0.004330000000010159
想要好户型的可以看看这套户型好客厅带阳台中间楼层高性价比,3室2厅2卫,130.45,南北,高层(共17层),2016.0,南熙福邸,郑东新区,郑东新区周边大有路23号,155.0,11882,11882元/m²,155.0万元,9.0,0.0006899999999916417
天赋路 高楼层采光充足 南向采光好 满五 带电梯 交通便捷,1室2厅1卫,80.0,南,高层(共8层),2006.0,民航花园,郑东新区,天赋路天赋路39号,180.0,22500,22500元/m²,180.0万元,19.0,0.0
伟业象湖湾 一楼带院.精装三房.伶包入住.随时看,3室2厅1卫,116.0,南,低层(共20层),2015.0,伟业象湖湾,郑东新区,郑东新区周边郑开大道,133.0,11466,11466元/m²,133.0万元,10.0,0.005599999999986949
鑫苑鑫城 商业配套齐全 近地铁 楼龄新 医疗配套成熟 满五,3室1厅1卫,143.58,南,低层(共34层),2016.0,鑫苑鑫城,郑东新区,东风南路康平路89号,168.0,11701,11701元/m²,168.0万元,9.0,0.0029580000000066775
近地铁 小四房 交通便利 小区新 满五 高楼层 送车位,4室2厅2卫,138.0,南北,高层(共34层),2015.0,鑫苑鑫城,郑东新区,东风南路康平路89号,270.0,19566,19566元/m²,270.0万元,10.0,0.010800000000017462
产权清晰 商圈成熟 双卫格局 近地铁 中间好楼层 满五,6室2厅2卫,85.65,南,中层(共31层),2014.0,旭日龙园,郑东新区,商都路商都路,145.0,16930,16930元/m²,145.0万元,11.0,0.00544999999999618
东润城(三期裕园) 次新房 双卫 洋房带车位装修好,3室2厅2卫,126.0,南,中层(共6层),2021.0,东润城(三期裕园),郑东新区,郑东新区周边原圃路30号,130.0,10318,10318元/m²,130.0万元,4.0,0.006799999999998363
大街逸水湾 南向采光好 医疗配套成熟 中间楼层采光好,4室2厅2卫,147.0,南,共5层,2014.0,第一大街逸水湾,郑东新区,CBD天赋路,260.0,17688,17688元/m²,260.0万元,11.0,0.013599999999996726
海马公园(A区) 双卫 高楼层视野好 临地铁 出行方便,3室2厅2卫,134.57,南北,高层(共27层),2012.0,海马公园(A区),郑东新区,新东站片普惠路,378.0,28090,28090元/m²,378.0万元,13.0,0.007129999999961001
鸿园玉兰苑(西苑) 中间楼层三开间朝南，楼间距宽采光无遮挡,3室2厅2卫,136.0,南,中层(共14层),2013.0,鸿园玉兰苑(西苑),郑东新区,鸿园片区鸿苑路69号,218.0,16030,16030元/m²,218.0万元,12.0,0.008000000000009777
刚刚降价目前小区性价比 的好房随时看房,3室2厅3卫,167.0,南,低层(共16层),2019.0,融创美盛芳园,郑东新区,郑东新区周边和风街67号,145.0,8683,8683元/m²,145.0万元,6.0,0.006100000000003547
南北通透 有电梯 双卫格局 次新房 正规商品房 满二,3室2厅2卫,124.6,南北,高层(共33层),2019.0,融创美盛象湖壹号1期,郑东新区,"郑东新区周边凤栖街,近润泽路",160.0,12842,12842元/m²,160.0万元,6.0,0.011319999999983565
南向采光好 正规商品房 小三居 楼龄新 电梯房 满五,3室2厅1卫,92.0,南,低层(共33层),2018.0,融创美盛象湖壹号1期,郑东新区,"郑东新区周边凤栖街,近润泽路",145.0,15761,15761元/m²,145.0万元,7.0,0.0012000000000114142
海逸名门 电梯房 近地铁 医疗配套成熟 双卫生间 产权清晰,4室1厅4卫,156.02,南,低层(共25层),2006.0,海逸名门,郑东新区,CBD商务内环路22号,230.0,14742,14742元/m²,230.0万元,19.0,0.00468400000002589
海逸名门 双卫生间 近地铁 带电梯 满五 交通便利,3室1厅2卫,173.72,南,高层(共25层),2006.0,海逸名门,郑东新区,CBD商务内环路22号,320.0,18421,18421元/m²,320.0万元,19.0,0.009612000000004173
专业代理各小区过户手续，业主十万火急，可大刀砍价，双地铁口,3室2厅1卫,87.88,南北,高层(共34层),2015.0,绿地新里花园三期,郑东新区,列里路列里路,109.0,12404,12404元/m²,109.0万元,10.0,0.006352000000006797
列里路 电梯房 医疗配套成熟 正规商品房 临地铁 双卫生间,3室2厅2卫,164.5,南北,低层(共34层),2010.0,绿地新里花园一期,郑东新区,列里路永平路19号,220.0,13374,13374元/m²,220.0万元,15.0,0.002299999999991087
专业代理各小区过户手续，业主十万火急，可大刀砍价，双地铁口,3室2厅2卫,122.0,南北,低层(共32层),2015.0,英地金台府邸,郑东新区,新东站片永平路80号,260.0,21312,21312元/m²,260.0万元,10.0,0.006399999999985084
中央特区(东区) 满五 凤凰层 一梯一户 随时看房,4室2厅2卫,186.22,南北,高层(共11层),2009.0,中央特区(东区),郑东新区,新东站片农业东路112号,323.0,17346,17346元/m²,323.0万元,16.0,0.017212000000029093
（必看）七里河旁，朝南两居室，送50平楼台。,2室2厅1卫,88.5,南,低层(共18层),2010.0,青春圣地,郑东新区,农业南路七里河南路,150.0,16950,16950元/m²,150.0万元,15.0,0.007499999999993179
CBD 双卫生间 产权清晰 带电梯 临地铁 高楼层视野无遮挡,3室2厅2卫,178.0,南,高层(共24层),2005.0,金成阳光世纪,郑东新区,CBD商务内环路19号,340.0,19102,19102元/m²,340.0万元,20.0,0.015600000000006276
新东站片 近医院 精装好房 产权清晰 交通便捷 带电梯,2室2厅1卫,89.75,南北,低层(共33层),2016.0,晖达新天地,郑东新区,新东站片七里河北路,140.0,15599,15599元/m²,140.0万元,9.0,0.0010249999999984993
广电天韵 精装费40多个 带中央空调 新风系统 不临高架,3室2厅2卫,139.0,南,低层(共27层),2017.0,广电天韵,郑东新区,龙子湖晨晖路1号,365.0,26259,26259元/m²,365.0万元,8.0,9.999999997489795e-05
南北通透 近地铁 出行方便 满五 得房好 医疗配套成熟,2室2厅1卫,90.55,南北,中层(共6层),2012.0,晖达新领地(东区),郑东新区,"新东站片正光路,近心怡路",125.0,13805,13805元/m²,125.0万元,13.0,0.004275000000006912
商圈成熟 电梯房 医疗配套成熟 精装可拎包入住,3室1厅1卫,89.46,南北,高层(共18层),2015.0,鑫苑世纪东城东苑,郑东新区,东风南路安平路126号,122.0,13638,13638元/m²,122.0万元,10.0,0.005548000000004549
（急售）财信圣堤亚纳，双地铁口毛胚三居室，业主诚心看房方便。,3室2厅1卫,107.02,南,低层(共34层),2014.0,财信圣堤亚纳,郑东新区,黄河东路商都路21号,158.0,14764,14764元/m²,158.0万元,11.0,0.004328000000015209
雅宝东方国际花园 出行方便 刚需两居 满五 商品房,2室1厅1卫,89.0,南,低层(共31层),2013.0,雅宝东方国际花园,郑东新区,祥盛街祥盛街60号,160.0,17978,17978元/m²,160.0万元,12.0,0.004199999999997317
盛世年华 满五 精装可拎包入住 正规商品房 商圈成熟,2室2厅1卫,85.78,南,高层(共18层),2007.0,盛世年华,郑东新区,黄河南路黄河东路89号,160.0,18653,18653元/m²,160.0万元,18.0,0.0054340000000081545
建业如意家园 带电梯 医疗配套成熟 满五 近地铁 南北通透,3室2厅1卫,124.0,南北,高层(共11层),2010.0,建业如意家园,郑东新区,东风东路祥盛街29-16号,242.0,19517,19517元/m²,242.0万元,15.0,0.01079999999998904
高楼层视野好 带电梯 南北通透 正规商品房 精装好房,3室2厅2卫,120.0,南北,高层(共16层),2020.0,碧桂园国控天誉,郑东新区,杨金片区文雅街9号,185.0,15417,15417元/m²,185.0万元,5.0,0.003999999999990678
古德佳苑 交通便捷 医疗配套成熟 商品住宅 朝南 临地铁,2室2厅1卫,87.19,南北,低层(共7层),2012.0,古德佳苑,郑东新区,农业东路金汇西街6号,195.0,22365,22365元/m²,195.0万元,13.0,0.00043499999998175554
南北通透 双卫 精装可拎包入住 临地铁 有电梯 次新房,3室2厅2卫,127.27,南北,低层(共16层),2023.0,中海云鼎湖居,郑东新区,北龙湖龙泽西路72号,382.0,30015,30015元/m²,382.0万元,2.0,0.0009049999999888314
农业南路 近医院 满五 交通便利 电梯房 精装好房 商品住宅,2室2厅1卫,92.44,南,低层(共19层),2013.0,尚书苑,郑东新区,农业南路农业南路,130.0,14064,14064元/m²,130.0万元,12.0,0.007615999999984524
十年前的价格买东区，专业代理各小区过户手续业主急售可大刀砍价,3室2厅1卫,89.54,南北,高层(共34层),2015.0,绿地新里花园二期,郑东新区,列里路普惠路2号,125.0,13961,13961元/m²,125.0万元,10.0,0.0067940000000135115
正弘山 满五 高绿化 医疗配套成熟 临地铁 刚需两居,2室2厅1卫,83.7,南,低层(共26层),2009.0,正弘山,郑东新区,通泰路通泰路66号,105.0,12545,12545元/m²,105.0万元,16.0,0.001649999999997931
急卖雅居乐国际花园 小高层.精装修 带车位价可谈,3室2厅1卫,95.0,南,中层(共11层),2016.0,雅居乐国际花园(西苑),郑东新区,郑东新区周边象湖南路71号,115.0,12106,12106元/m²,115.0万元,9.0,0.007000000000005002
中间楼层采光好 送车位 环境好 刚需小三居 近地铁 动静分离,3室2厅1卫,95.0,南,中层(共26层),2016.0,雅居乐国际花园(西苑),郑东新区,郑东新区周边象湖南路71号,110.0,11579,11579元/m²,110.0万元,9.0,0.0005000000000023874
未来华庭 有电梯 车位充足 满二 临地铁 南北通透,2室2厅1卫,88.04,南北,低层(共32层),2017.0,未来华庭,郑东新区,龙子湖文苑南路,150.0,17038,17038元/m²,150.0万元,8.0,0.0025520000000085474
正商书香华府 洋房 带车位 业主急售 面谈惊喜,4室2厅2卫,180.0,南北,低层(共8层),2016.0,正商书香华府,郑东新区,龙子湖行健街6号,388.0,21556,21556元/m²,388.0万元,9.0,0.007999999999981355
天赋路 商品住宅 满五 近医院 南北通透 带电梯,3室2厅2卫,147.0,南北,高层(共8层),2006.0,民航花园,郑东新区,天赋路天赋路39号,288.0,19592,19592元/m²,288.0万元,19.0,0.0024000000000228283
兴荣街 临地铁 精装修 商品住宅 电梯房 医疗配套成熟,3室2厅2卫,142.38,南北,高层(共18层),2008.0,大地东方名都,郑东新区,兴荣街兴荣街17-30号,280.0,19666,19666元/m²,280.0万元,17.0,0.004507999999987078
大地东方名都 临地铁 配套齐全 商业配套齐全 近医院,3室2厅2卫,148.0,南北,中层(共18层),2008.0,大地东方名都,郑东新区,兴荣街兴荣街17-30号,322.0,21757,21757元/m²,322.0万元,17.0,0.0036000000000058208
大地东方名都 双卫格局 近地铁 高楼层视野无遮挡 有电梯,3室2厅2卫,148.0,南北,高层(共18层),2008.0,大地东方名都,郑东新区,兴荣街兴荣街17-30号,265.0,17906,17906元/m²,265.0万元,17.0,0.008800000000007913
南熙福邸 审计厅家属院品质房 业主诚心卖 随时看,3室2厅2卫,139.0,南,中层(共17层),2016.0,南熙福邸,郑东新区,郑东新区周边大有路23号,178.0,12806,12806元/m²,178.0万元,9.0,0.0033999999999991815
新芒果和郡 刚需两居 交通便捷 商品房 电梯房 南向采光好,2室2厅1卫,87.85,南,低层(共30层),2013.0,新芒果和郡,郑东新区,金水东路学理路9号,195.0,22197,22197元/m²,195.0万元,12.0,0.000644999999991569
五行嘉园 精装好房 满二 双卫 交通便利 商圈成熟,3室2厅2卫,166.28,东,低层(共25层),2007.0,五行嘉园,郑东新区,CBD商务西七街,255.0,15336,15336元/m²,255.0万元,18.0,0.007008000000013226
运河上郡(南区) 近地铁 装修好 高楼层视野无遮挡 交通便捷,3室2厅2卫,145.0,南北,高层(共14层),2009.0,运河上郡(南区),郑东新区,天赋路农业东路30号,324.0,22345,22345元/m²,324.0万元,16.0,0.0024999999999977263
高铁站！天花板小区！建业天筑一室两厅，朝南带阳台,1室2厅1卫,82.0,南,低层(共31层),2018.0,建业天筑,郑东新区,康平路康宁街58号,206.0,25122,25122元/m²,206.0万元,7.0,0.0004000000000132786
买124平三室必看！送车位可谈！好位置，龙子湖,3室2厅2卫,124.23,南北,高层(共27层),2018.0,广电天韵,郑东新区,龙子湖晨晖路1号,265.0,21332,21332元/m²,265.0万元,7.0,0.007435999999984233
海马公园B区 新交付 有电梯 好楼层 视野无遮挡,3室2厅2卫,126.01,南,高层(共33层),2024.0,海马公园(B区),郑东新区,新东站片普惠路46号,333.6,26475,26475元/m²,333.6万元,1.0,0.01147499999996171
海马公园(B区) 医疗配套成熟 房龄新 出行方便 正规商品房,3室2厅1卫,131.85,南北,高层(共32层),2015.0,海马公园(B区),郑东新区,新东站片普惠路46号,330.0,25029,25029元/m²,330.0万元,10.0,0.0073649999999929605
精装拎包住！海马公园二期 中高楼层 送全屋品牌家具家电,3室2厅2卫,135.5,南北,高层(共32层),2015.0,海马公园(B区),郑东新区,新东站片普惠路46号,355.0,26200,26200元/m²,355.0万元,10.0,0.009999999999990905
电梯房 双卫 满五 朝南 高楼层视野无遮挡 正规商品房,3室2厅2卫,122.78,南,高层(共33层),2019.0,融创美盛象湖壹号1期,郑东新区,"郑东新区周边凤栖街,近润泽路",155.0,12625,12625元/m²,155.0万元,6.0,0.009749999999996817
郑东新区周边 得房好 朝南 产权清晰 满五 双卫格局,3室2厅2卫,122.0,南,中层(共33层),2016.0,融创美盛象湖壹号1期,郑东新区,"郑东新区周边凤栖街,近润泽路",168.0,13771,13771元/m²,168.0万元,9.0,0.006200000000006867
鸿园玉兰苑精装修三房，拎包入住， 省shi验！,3室2厅2卫,126.0,南,高层(共15层),2016.0,鸿园玉兰苑(东苑),郑东新区,鸿园片区东四环,170.0,13493,13493元/m²,170.0万元,9.0,0.011799999999993815
星联湾 满五 高楼层采光充足 近地铁 小区新 商品住宅,3室2厅2卫,134.61,南,高层(共26层),2018.0,星联湾,郑东新区,郑东新区周边象辰路88号,178.0,13224,13224元/m²,178.0万元,7.0,0.008264000000025362
聚龙城 中间好楼层 正南朝向 电梯房 交通便利 满五,2室2厅1卫,89.0,南,中层(共22层),2009.0,聚龙城,郑东新区,金水东路祥盛街10号,146.0,16405,16405元/m²,146.0万元,16.0,0.004500000000007276
力荐！海马公园五期 精装修 位置 2T3户,4室2厅2卫,162.0,南北,低层(共33层),2018.0,海马公园(D区),郑东新区,"新东站片普惠路,近商都路",385.0,23766,23766元/m²,385.0万元,7.0,0.009200000000021191
急售！上东城精装三房 位置安静 采光充足 诚心出租 拎包入住,3室2厅2卫,131.0,南,低层(共16层),2015.0,上东城,郑东新区,郑东新区周边象湖南路62号,180.0,13741,13741元/m²,180.0万元,10.0,0.007100000000008322
海逸名门 医疗配套成熟 精装好房 临地铁 满五 刚需两居,2室1厅1卫,120.13,南北,中层(共24层),2010.0,海逸名门,郑东新区,CBD商务内环路22号,210.0,17482,17482元/m²,210.0万元,15.0,0.011266000000006215
未来国际 产权清晰 近地铁 刚需两居 满五 电梯房,2室2厅1卫,93.0,南,高层(共22层),2005.0,未来国际,郑东新区,CBD商务内环路25号,210.0,22581,22581元/m²,210.0万元,20.0,0.003299999999995862
金色年华 中间好楼层 双卫 商业配套齐全 正规商品房 近医院,3室2厅2卫,133.42,南,中层(共6层),2006.0,金色年华,郑东新区,通泰路通泰路42号,240.0,17989,17989元/m²,240.0万元,19.0,0.009237999999982094
新里卢浮公馆一期 近医院 大两房 满五 精装好房 正规商品房,2室2厅1卫,88.8,东南,高层(共23层),2010.0,绿地新里花园一期,郑东新区,列里路永平路19号,120.0,13514,13514元/m²,120.0万元,15.0,0.004319999999992774
西南户型 商品房 大两居 交通便利 医疗配套成熟 精装好房,2室2厅1卫,89.8,西南,高层(共22层),2010.0,绿地新里花园一期,郑东新区,列里路永平路19号,120.0,13364,13364元/m²,120.0万元,15.0,0.00871999999999673
怡景嘉园 精装可拎包入住 医疗配套成熟 中间楼层采光好,2室2厅1卫,91.0,南,高层(共25层),2010.0,怡景嘉园,郑东新区,兴荣街兴荣街,129.0,14176,14176元/m²,129.0万元,15.0,0.001599999999996271
格林上东 商品住宅 双卫 带电梯 商圈成熟 中间好楼层,3室2厅2卫,136.0,南,中层(共9层),2014.0,格林上东,郑东新区,郑东新区周边通惠路26号,166.0,12206,12206元/m²,166.0万元,11.0,0.001599999999996271
急售 晖达新天地 精装两室 带车位 价格可谈 随时看房,2室1厅1卫,90.09,南北,中层(共33层),2016.0,晖达新天地,郑东新区,新东站片七里河北路,150.0,16651,16651元/m²,150.0万元,9.0,0.00885900000000106
临地铁 中间好楼层 朝南 装修好 房龄新 交通便利 动静分离,2室1厅1卫,90.09,南,中层(共33层),2016.0,晖达新天地,郑东新区,新东站片七里河北路,145.0,16096,16096元/m²,145.0万元,9.0,0.008864000000016858
自来水家属院 大两居 商品住宅 临地铁 医疗配套成熟 满五,2室2厅1卫,87.02,南北,低层(共6层),2005.0,自来水家属院,郑东新区,商鼎路商鼎路,120.0,13790,13790元/m²,120.0万元,20.0,0.0005799999999993588
中牟建业春天里(二期) 满二 楼层好 商品房 双卫生间,3室2厅2卫,122.41,南北,中层(共26层),2019.0,中牟建业春天里(二期),郑东新区,郑东新区周边丁庄路58号,178.0,14542,14542元/m²,178.0万元,6.0,0.008622000000002572
南北通透 装修好 商品房 双卫 次新小区 满五 动静分离,3室2厅2卫,122.15,南北,低层(共26层),2020.0,中牟建业春天里(二期),郑东新区,郑东新区周边丁庄路58号,157.0,12854,12854元/m²,157.0万元,5.0,0.011610000000018772
龙子湖88平两室两厅！花20多装修，价可谈！广电天韵,2室2厅1卫,88.0,南北,高层(共27层),2018.0,广电天韵,郑东新区,龙子湖晨晖路1号,180.0,20455,20455元/m²,180.0万元,7.0,0.003999999999990678
雅宝东方国际花园 商圈成熟 南向采光好 交通便利 正规商品房,2室2厅1卫,86.51,南,中层(共32层),2013.0,雅宝东方国际花园,郑东新区,祥盛街祥盛街60号,165.0,19073,19073元/m²,165.0万元,12.0,0.0005229999999869506
财信圣堤亚纳 有电梯 临地铁 环境好 小三房 医疗配套成熟,3室2厅1卫,105.5,南,高层(共34层),2014.0,财信圣堤亚纳,郑东新区,黄河东路商都路21号,152.0,14408,14408元/m²,152.0万元,11.0,0.004400000000003956
金悦府 临地铁 双卫格局 南北通透 精装好房 小区新,3室2厅1卫,133.0,南北,低层(共34层),2017.0,金悦府,郑东新区,列里路永平路121号,299.0,22482,22482元/m²,299.0万元,8.0,0.010600000000010823
全新装修 从未入住 诚意出售 看房方便,3室2厅2卫,144.19,南北,低层(共9层),2006.0,中义阿卡迪亚,郑东新区,金水东路黄河东路10号,434.0,30100,30100元/m²,434.0万元,19.0,0.011900000000025557
东区地铁口 公园旁 单价1.5万,2室2厅1卫,96.93,东西,高层(共6层),2007.0,中信嘉苑,郑东新区,天赋路天时路9号,150.0,15476,15476元/m²,150.0万元,18.0,0.00886800000000676
尚书苑 商业配套成熟 出行方便 中间好楼层 大两房 近医院,2室1厅1卫,92.06,南北,中层(共19层),2013.0,尚书苑,郑东新区,农业南路农业南路,180.0,19553,19553元/m²,180.0万元,12.0,0.004918000000003531
南向采光好 满五 装修好 有电梯 房龄新 产权清晰,3室2厅2卫,127.0,南,中层(共7层),2014.0,东润华景,郑东新区,郑东新区周边商都大道,160.0,12599,12599元/m²,160.0万元,11.0,0.0072999999999865395
龙子湖新小区，有房本，送车位，诚心出售，随时看房,3室2厅2卫,134.93,南北,中层(共27层),2023.0,蓝宝湖畔晓风,郑东新区,"龙子湖博学路,近薛夏北街",197.0,14601,14601元/m²,197.0万元,2.0,0.011293000000023312
水之郡 刚需两居 满二 小区新 临地铁 商品住宅,2室2厅1卫,89.0,南,高层(共27层),2018.0,水之郡,郑东新区,"龙子湖姚桥路,近德惠街",144.0,16180,16180元/m²,144.0万元,7.0,0.0020000000000095497
正商东方港湾 临地铁 交通便捷 商业配套成熟 有电梯,1室2厅1卫,89.76,南,低层(共18层),2010.0,正商东方港湾,郑东新区,新东站片康平路9号,168.0,18717,18717元/m²,168.0万元,15.0,0.0037920000000042364
聚源路总校（店长力推）朝南，满五年，双气，低总价,2室1厅1卫,86.81,南,低层(共18层),2010.0,东悦风雅国际公寓,郑东新区,聚源路宏图路21号,105.0,12096,12096元/m²,105.0万元,15.0,0.005375999999998271
交通便利 满五 刚需两居 临地铁 南北通透 商圈成熟,2室2厅1卫,89.6,南北,低层(共6层),2005.0,自来水家属院,郑东新区,商鼎路商鼎路,118.0,13170,13170元/m²,118.0万元,20.0,0.003200000000006753
中力七里湾 3年内新装修 2房带双阳台 2梯3户 用钱急售,2室2厅1卫,93.6,南,中层(共26层),2013.0,中力七里湾,郑东新区,商都路通泰路109号,119.0,12714,12714元/m²,119.0万元,12.0,0.0030399999999843885
